port,dependency
gsettings-desktop-schemas,glib2
gsettings-desktop-schemas,gobject-introspection
gssdp,gtk3
gssdp,libsoup
gssdp,vala
gssdp,gobject-introspection
gstreamer1,bison
gstreamer1,flex
gstreamer1,gettext
gstreamer1,glib2
gstreamer1,libxml2
gstreamer1,gobject-introspection
gstreamer1-gst-plugins-bad,gstreamer1-gst-plugins-base
gstreamer1-gst-plugins-bad,curl
gstreamer1-gst-plugins-bad,faad2
gstreamer1-gst-plugins-bad,fluidsynth
gstreamer1-gst-plugins-bad,lcms2
gstreamer1-gst-plugins-bad,libass
gstreamer1-gst-plugins-bad,libdca
gstreamer1-gst-plugins-bad,libde265
gstreamer1-gst-plugins-bad,libdvdread
gstreamer1-gst-plugins-bad,libdvdnav
gstreamer1-gst-plugins-bad,libexif
gstreamer1-gst-plugins-bad,libgsm
gstreamer1-gst-plugins-bad,libmms
gstreamer1-gst-plugins-bad,libmodplug
gstreamer1-gst-plugins-bad,libmpcdec
gstreamer1-gst-plugins-bad,libnice
gstreamer1-gst-plugins-bad,librsvg
gstreamer1-gst-plugins-bad,libssh2
gstreamer1-gst-plugins-bad,mesa
gstreamer1-gst-plugins-bad,libGLU
gstreamer1-gst-plugins-bad,nettle
gstreamer1-gst-plugins-bad,openal-soft
gstreamer1-gst-plugins-bad,openexr
gstreamer1-gst-plugins-bad,openjpeg
gstreamer1-gst-plugins-bad,orc
gstreamer1-gst-plugins-bad,rtmpdump
gstreamer1-gst-plugins-bad,soundtouch
gstreamer1-gst-plugins-bad,spandsp-devel
gstreamer1-gst-plugins-bad,tiff
gstreamer1-gst-plugins-bad,neon
gstreamer1-gst-plugins-bad,webp
gstreamer1-gst-plugins-bad,x265
gstreamer1-gst-plugins-bad,chromaprint
gstreamer1-gst-plugins-bad,gobject-introspection
gstreamer1-gst-plugins-base,gstreamer1
gstreamer1-gst-plugins-base,graphene
gstreamer1-gst-plugins-base,libjpeg-turbo
gstreamer1-gst-plugins-base,libpng
gstreamer1-gst-plugins-base,libopus
gstreamer1-gst-plugins-base,orc
gstreamer1-gst-plugins-base,pango
gstreamer1-gst-plugins-base,zlib
gstreamer1-gst-plugins-base,mesa
gstreamer1-gst-plugins-base,xorg-libX11
gstreamer1-gst-plugins-base,xorg-libXext
gstreamer1-gst-plugins-base,xorg-libXv
gstreamer1-gst-plugins-base,libogg
gstreamer1-gst-plugins-base,libvorbis
gstreamer1-gst-plugins-base,libtheora
gstreamer1-gst-plugins-base,gobject-introspection
gstreamer1-gst-plugins-good,gstreamer1-gst-plugins-base
gstreamer1-gst-plugins-good,aalib
gstreamer1-gst-plugins-good,cairo
gstreamer1-gst-plugins-good,flac
gstreamer1-gst-plugins-good,gdk-pixbuf2
gstreamer1-gst-plugins-good,libjpeg-turbo
gstreamer1-gst-plugins-good,lame
gstreamer1-gst-plugins-good,libcaca
gstreamer1-gst-plugins-good,libdv
gstreamer1-gst-plugins-good,libpng
gstreamer1-gst-plugins-good,libshout2
gstreamer1-gst-plugins-good,libsoup
gstreamer1-gst-plugins-good,speex
gstreamer1-gst-plugins-good,libvpx
gstreamer1-gst-plugins-good,mpg123
gstreamer1-gst-plugins-good,orc
gstreamer1-gst-plugins-good,taglib
gstreamer1-gst-plugins-good,twolame
gstreamer1-gst-plugins-good,wavpack
gstreamer1-gst-plugins-good,gtk3
gstreamer1-gst-plugins-good,pulseaudio
gstreamer1-gst-plugins-good,xorg-libX11
gstreamer1-gst-plugins-good,xorg-libXfixes
gstreamer1-gst-plugins-good,xorg-libXdamage
gstreamer1-gst-plugins-good,xorg-libXext
gstreamer1-gst-plugins-good,qt5-qtbase
gstreamer1-gst-plugins-good,qt5-qtdeclarative
gstreamer1-gst-plugins-good,qt5-qtmacextras
gstreamer010,bison
gstreamer010,flex
gstreamer010,gettext
gstreamer010,glib2
gstreamer010,libxml2
gstreamer010,gobject-introspection
gtk-doc,docbook-xml
gtk-doc,docbook-xsl-nons
gtk-doc,itstool
gtk-doc,libxml2
gtk-doc,libxslt
gtk-doc,pkgconfig
gtk-doc,python311
gtk-doc,py311-anytree
gtk-doc,py311-lxml
gtk-doc,py311-pygments
gtk3,atk
gtk3,gdk-pixbuf2
gtk3,glib2
gtk3,gobject-introspection
gtk3,harfbuzz
gtk3,iso-codes
gtk3,libepoxy
gtk3,pango
gtk3,mesa
gtk3,at-spi2-atk
gtk3,fontconfig
gtk3,libxkbcommon-x11
gtk3,xorg-libXi
gtk3,xorg-libXrandr
gtk3,xorg-libXcursor
gtk3,xorg-libXinerama
gtk3,xorg-libXdamage
gtk3,xorg-libXcomposite
gtk3,xorg-libXfixes
gtk3,shared-mime-info
gtk3,hicolor-icon-theme
gts,glib2
gts,libnetpbm
gupnp,gssdp
gupnp,libsoup
gupnp,libxml2
gupnp,vala
gupnp,gobject-introspection
gupnp-igd,gupnp
gupnp-igd,py27-gobject
gupnp-igd,gobject-introspection
harfbuzz,cairo
harfbuzz,freetype
harfbuzz,glib2
harfbuzz,graphite2
harfbuzz,gobject-introspection
harfbuzz-icu,harfbuzz
harfbuzz-icu,icu
ImageMagick,bzip2
ImageMagick,djvulibre
ImageMagick,xz
ImageMagick,jbigkit
ImageMagick,libjpeg-turbo
ImageMagick,lcms2
ImageMagick,libpng
ImageMagick,libraw
ImageMagick,tiff
ImageMagick,webp
ImageMagick,zlib
ImageMagick,fftw-3
ImageMagick,freetype
ImageMagick,fontconfig
ImageMagick,ghostscript
ImageMagick,libiconv
ImageMagick,libtool
ImageMagick,openjpeg
ImageMagick,openexr
ImageMagick,expat
ImageMagick,libxml2
ImageMagick,libheif
ImageMagick,pkgconfig
ImageMagick,xorg-libX11
ImageMagick,xorg-libXext
ImageMagick,xorg-libXt
ImageMagick,urw-fonts
isl,gmp
itstool,gettext
itstool,py311-libxml2
jasper,libjpeg-turbo
json-glib,gettext-runtime
json-glib,glib2
json-glib,gobject-introspection
kerberos5,gettext-runtime
kerberos5,libcomerr
kerberos5,libedit
kerberos5,lmdb
kerberos5,ncurses
kerberos5,openssl
lame,ncurses
lame,libiconv
lcms,tiff
lcms,libjpeg-turbo
lcms,zlib
lcms2,libjpeg-turbo
lcms2,tiff
lcms2,zlib
ld64,ld64-xcode
ld64-latest,libcxx
ld64-latest,libtapi
ld64-latest,llvm-9.0
libarchive,bzip2
libarchive,zlib
libarchive,libxml2
libarchive,xz
libarchive,lzo2
libarchive,libiconv
libarchive,lz4
libarchive,zstd
libarchive,libb2
libass,fribidi
libass,fontconfig
libass,harfbuzz
libbluray,libxml2
libbluray,fontconfig
libbluray,freetype
libcaca,ncurses
libcaca,zlib
libcomerr,gettext-runtime
libdv,popt
libdvdnav,libdvdread
libdvdread,libdvdcss
libedit,ncurses
libevent,openssl
libexif,gettext
libexif,libiconv
libgcrypt,libgpg-error
libgcrypt,texinfo
libgit2,curl
libgit2,libiconv
libgit2,libssh2
libgit2,openssl
libgit2,pcre2
libgit2,zlib
libGLU,mesa
libgpg-error,gettext-runtime
libgpg-error,libiconv
libgpg-error,texinfo
libheif,aom
libheif,dav1d
