port,dependency
gstreamer1-gst-plugins-bad,openexr
gstreamer1-gst-plugins-bad,openjpeg
gstreamer1-gst-plugins-bad,orc
gstreamer1-gst-plugins-bad,rtmpdump
gstreamer1-gst-plugins-bad,soundtouch
gstreamer1-gst-plugins-bad,spandsp-devel
gstreamer1-gst-plugins-bad,neon
gstreamer1-gst-plugins-bad,webp
gstreamer1-gst-plugins-bad,x265
gstreamer1-gst-plugins-bad,gobject-introspection
gstreamer1-gst-plugins-bad,chromaprint
gstreamer1-gst-plugins-base,gstreamer1
gstreamer1-gst-plugins-base,graphene
gstreamer1-gst-plugins-base,jpeg
gstreamer1-gst-plugins-base,libpng
gstreamer1-gst-plugins-base,libopus
gstreamer1-gst-plugins-base,orc
gstreamer1-gst-plugins-base,pango
gstreamer1-gst-plugins-base,zlib
gstreamer1-gst-plugins-base,gobject-introspection
gstreamer1-gst-plugins-base,mesa
gstreamer1-gst-plugins-base,xorg-libX11
gstreamer1-gst-plugins-base,xorg-libXext
gstreamer1-gst-plugins-base,xorg-libXv
gstreamer1-gst-plugins-base,libogg
gstreamer1-gst-plugins-base,libvorbis
gstreamer1-gst-plugins-base,libtheora
gstreamer1-gst-plugins-good,gstreamer1-gst-plugins-base
gstreamer1-gst-plugins-good,aalib
gstreamer1-gst-plugins-good,cairo
gstreamer1-gst-plugins-good,flac
gstreamer1-gst-plugins-good,gdk-pixbuf2
gstreamer1-gst-plugins-good,jpeg
gstreamer1-gst-plugins-good,lame
gstreamer1-gst-plugins-good,libcaca
gstreamer1-gst-plugins-good,libdv
gstreamer1-gst-plugins-good,libpng
gstreamer1-gst-plugins-good,libshout2
gstreamer1-gst-plugins-good,libsoup
gstreamer1-gst-plugins-good,speex
gstreamer1-gst-plugins-good,libvpx
gstreamer1-gst-plugins-good,mpg123
gstreamer1-gst-plugins-good,orc
gstreamer1-gst-plugins-good,taglib
gstreamer1-gst-plugins-good,twolame
gstreamer1-gst-plugins-good,wavpack
gstreamer1-gst-plugins-good,pulseaudio
gstreamer1-gst-plugins-good,xorg-libX11
gstreamer1-gst-plugins-good,xorg-libXfixes
gstreamer1-gst-plugins-good,xorg-libXdamage
gstreamer1-gst-plugins-good,xorg-libXext
gstreamer010,bison
gstreamer010,flex
gstreamer010,gettext
gstreamer010,glib2
gstreamer010,libxml2
gstreamer010,gobject-introspection
gtk3,atk
gtk3,pango
gtk3,gdk-pixbuf2
gtk3,glib2
gtk3,gobject-introspection
gtk3,libepoxy
gtk3,mesa
gtk3,xorg-libXi
gtk3,xorg-libXrandr
gtk3,xorg-libXcursor
gtk3,xorg-libXinerama
gtk3,xorg-libXdamage
gtk3,xorg-libXcomposite
gtk3,xorg-libXfixes
gtk3,at-spi2-atk
gtk3,shared-mime-info
gtk3,hicolor-icon-theme
gts,glib2
gts,libnetpbm
harfbuzz,cairo
harfbuzz,freetype
harfbuzz,glib2
harfbuzz,graphite2
harfbuzz-icu,harfbuzz
harfbuzz-icu,icu
help2man,perl5.28
help2man,p5.28-locale-gettext
help2man,gettext
help2man,libiconv
icon-naming-utils,perl5.28
icon-naming-utils,p5.28-xml-simple
ImageMagick,bzip2
ImageMagick,djvulibre
ImageMagick,xz
ImageMagick,jbigkit
ImageMagick,jpeg
ImageMagick,lcms2
ImageMagick,libpng
ImageMagick,libraw
ImageMagick,tiff
ImageMagick,webp
ImageMagick,zlib
ImageMagick,fftw-3
ImageMagick,freetype
ImageMagick,fontconfig
ImageMagick,ghostscript
ImageMagick,libiconv
ImageMagick,libtool
ImageMagick,openjpeg
ImageMagick,openexr
ImageMagick,expat
ImageMagick,libxml2
ImageMagick,libheif
ImageMagick,pkgconfig
ImageMagick,xorg-libX11
ImageMagick,xorg-libXext
ImageMagick,xorg-libXt
ImageMagick,urw-fonts
intltool,expat
intltool,p5.28-getopt-long
intltool,p5.28-pathtools
intltool,p5.28-scalar-list-utils
intltool,p5.28-xml-parser
itstool,py27-libxml2
jasper,jpeg
json-glib,glib2
json-glib,gobject-introspection
kerberos5,gettext
kerberos5,libcomerr
kerberos5,libedit
kerberos5,ncurses
kerberos5,openssl
lame,ncurses
lame,libiconv
lcms,tiff
lcms,jpeg
lcms,zlib
lcms2,jpeg
lcms2,tiff
lcms2,zlib
ld64,ld64-xcode
ld64-latest,libcxx
ld64-latest,libtapi
ld64-latest,llvm-9.0
libarchive,bzip2
libarchive,zlib
libarchive,libxml2
libarchive,xz
libarchive,lzo2
libarchive,libiconv
libarchive,lz4
libarchive,zstd
libass,fribidi
libass,fontconfig
libbluray,libxml2
libbluray,fontconfig
libbluray,freetype
libcaca,ncurses
libcaca,zlib
libcomerr,gettext
libcroco,gettext
libcroco,glib2
libcroco,libiconv
libcroco,libxml2
libcroco,zlib
libdv,popt
libdvdnav,libdvdread
libdvdread,libdvdcss
libedit,ncurses
libexif,gettext
libexif,libiconv
libgcrypt,libgpg-error
libGLU,mesa
libgpg-error,libiconv
libgpg-error,gettext
libheif,gdk-pixbuf2
libheif,jpeg
libheif,libde265
libheif,libpng
libheif,x265
libidn,libiconv
libidn,gettext
libidn2,gettext
libidn2,libiconv
libidn2,libunistring
libLASi,pango
libmms,glib2
libmms,libiconv
libmms,gettext
libmysofa,zlib
libnice,glib2
libnice,gstreamer1-gst-plugins-base
libnice,gupnp-igd
libnice,gobject-introspection
libnotify,glib2
libnotify,gobject-introspection
libnotify,gdk-pixbuf2
libnotify,gtk3
libnotify,xorg-libsm
libopenraw,libxml2
libopenraw,boost
libopenraw,curl
libopenraw,jpeg
libopenraw,gdk-pixbuf2
libpng,zlib
libproxy,glib2
libproxy,vala
libproxy,python27
libpsl,glib2
libpsl,gettext
libpsl,libiconv
libpsl,libidn2
libpsl,libunistring
libraw,jasper
libraw,jpeg
libraw,lcms2
librsvg,glib2
librsvg,cairo
librsvg,pango
librsvg,gdk-pixbuf2
librsvg,libxml2
librsvg,vala
librsvg,gobject-introspection
librsvg,python27
libsecret,glib2
libsecret,vala
libsecret,libgcrypt
libsecret,gobject-introspection
libshout2,libvorbis
libshout2,speex
libshout2,libtheora
libshout2,openssl
libshout2,libogg
libsndfile,flac
libsndfile,libogg
libsndfile,libvorbis
libssh2,openssl
libssh2,zlib
libtheora,libvorbis
libunistring,libiconv
libvorbis,libogg
libxml2,libiconv
libxml2,icu
libxml2,xz
libxml2,zlib
libxslt,libiconv
libxslt,libxml2
libxslt,zlib
libzzip,zlib
llvm-8.0,libedit
llvm-8.0,libffi
llvm-8.0,ncurses
llvm-8.0,xar
llvm-8.0,zlib
llvm-8.0,libcxx
llvm-8.0,perl5
llvm-8.0,llvm_select
llvm-9.0,libedit
llvm-9.0,libffi
llvm-9.0,ncurses
llvm-9.0,xar
llvm-9.0,zlib
llvm-9.0,libcxx
llvm-9.0,perl5
llvm-9.0,llvm_select
mesa,expat
mesa,xorg-xorgproto
mesa,xorg-libxcb
mesa,xorg-libX11
mesa,xorg-libXext
mesa,xorg-libXdamage
mesa,xorg-libXfixes
mesa,xorg-libXi
mesa,xorg-libXmu
mesa,xorg-libXxf86vm
mpfr,gmp
mpg123,libtool
neon,expat
neon,gettext
neon,libiconv
neon,kerberos5
neon,libcomerr
neon,libproxy
neon,openssl
neon,zlib
nettle,gmp
openal-soft,libmysofa
openexr,ilmbase
openexr,zlib
openjade,xmlcatmgr
openjade,opensp
openjpeg,libpng
openjpeg,tiff
openjpeg,lcms2
openjpeg,zlib
openjpeg,jbigkit
openjpeg15,libpng
openjpeg15,tiff
openjpeg15,lcms2
openjpeg15,zlib
openjpeg15,jbigkit
opensp,gettext
openssl,zlib
ossp-uuid,perl5.28
p5.28-cpan-meta,perl5.28
p5.28-cpan-meta,p5.28-cpan-meta-requirements
p5.28-cpan-meta,p5.28-cpan-meta-yaml
p5.28-cpan-meta,p5.28-encode
p5.28-cpan-meta,p5.28-scalar-list-utils
p5.28-cpan-meta,p5.28-version
p5.28-cpan-meta-requirements,perl5.28
p5.28-cpan-meta-yaml,perl5.28
p5.28-data-dump,perl5.28
p5.28-devel-checkbin,perl5.28
p5.28-devel-checkbin,p5.28-extutils-makemaker
p5.28-encode,perl5.28
p5.28-encode-locale,perl5.28
p5.28-extutils-makemaker,perl5.28
p5.28-extutils-makemaker,p5.28-cpan-meta-requirements
p5.28-extutils-makemaker,p5.28-extutils-manifest
p5.28-extutils-manifest,perl5.28
p5.28-file-listing,perl5.28
